Designator,Val,Mid X,Mid Y,Rotation,Layer
C1,100nF,84.300000,-58.000000,45.000000,top
C2,100UF 50V,77.900000,-88.900000,0,top
C3,4.7nF,80.500000,-58.000000,225.000000,top
C4,470nF,71.400000,-54.212500,270.000000,top
C5,470nF,69.800000,-54.212500,270.000000,top
C6,100nF,70.358000,-58.100000,0.000000,top
C7,10uF,70.512500,-56.500000,0.000000,top
C8,10uF,84.328800,-93.982500,180.000000,top
C9,10uF,84.328800,-95.506500,180.000000,top
C10,100nF,84.328800,-97.030500,180.000000,top
C11,4.7nF,84.300000,-92.500000,180.000000,top
C12,1nF,70.612000,-51.800000,0.000000,top
C13,100nF,83.566000,-79.883000,270.000000,top
C14,100nF,91.998800,-79.883000,270.000000,top
C15,100nF,43.000000,-42.750000,270.000000,top
C16,100nF,69.596000,-42.799000,180.000000,top
C17,100nF,40.665400,-64.135000,270.000000,top
C18,100nF,41.554400,-55.321200,90.000000,top
C19,10nF,39.573200,-42.418000,0.000000,top
C20,10nF,34.163000,-109.855000,0.000000,top
C21,18pF,51.790500,-100.950000,0.000000,top
C22,18pF,55.118000,-100.950000,180.000000,top
C23,1uF,59.055000,-97.053500,90.000000,top
C24,100nF,60.579000,-97.053500,90.000000,top
C25,2.2uF,65.125600,-79.400400,90.000000,top
C26,2.2uF,45.897800,-75.311000,180.000000,top
C27,1uF,63.627000,-96.520000,90.000000,top
C28,6.8pF,46.990000,-100.837500,270.000000,top
C29,10nF,62.103000,-96.520000,90.000000,top
C30,100nF,43.383200,-91.897200,180.000000,top
C31,100nF,63.804800,-91.948000,90.000000,top
C32,100nF,63.601600,-79.400400,270.000000,top
C33,100nF,45.900000,-76.800000,0.000000,top
C34,100nF,25.400000,-87.884000,180.000000,top
C35,1nF,74.400000,-40.900000,0.000000,top
C36,1uF,27.686000,-105.727500,0.000000,top
C37,100nF,64.389000,-111.887000,270.000000,top
C38,100nF,27.686000,-104.203500,180.000000,top
C39,22uF,26.797000,-101.790500,0.000000,top
C40,10nF,65.849500,-59.436000,180.000000,top
C41,2.2uF,86.900000,-79.883000,270.000000,top
C42,100nF,67.450000,-105.400000,270.000000,top
C43,22uF 25V,93.100000,-76.637500,270.000000,top
C44,6.8pF,49.530000,-100.837500,90.000000,top
C45,100nF,69.215000,-44.069000,0.000000,top
C46,100nF,67.310000,-42.799000,180.000000,top
C47,100nF,67.056000,-44.069000,0.000000,top
C48,100nF,65.151000,-42.799000,180.000000,top
C49,100nF,64.643000,-44.069000,0.000000,top
C50,100nF,62.992000,-42.799000,180.000000,top
C51,100nF,62.484000,-44.069000,0.000000,top
C52,100nF,58.674000,-45.974000,180.000000,top
C53,100nF,58.166000,-47.244000,0.000000,top
C54,100nF,56.261000,-45.974000,180.000000,top
C55,100nF,55.626000,-47.244000,0.000000,top
C56,100nF,52.324000,-45.974000,180.000000,top
C57,100nF,51.816000,-47.244000,0.000000,top
C58,100nF,50.038000,-45.974000,180.000000,top
C59,100nF,49.530000,-47.244000,0.000000,top
C78,100nF,40.640000,-60.553600,90.000000,top
